Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Number_7
93,41,96,63,75,33,42
74,62,32,25,58,35,86
91,83,85,99,54,19,72
65,71,83,59,50,52,62
78,96,49,15,89,60,92
92,95,28,69,25,43,47
78,86,7,93,48,69,10
55,44,87,95,86,85,84
27,57,79,74,95,40,57
36,64,84,86,32,71,93
25,50,79,54,58,87,22
61,97,1,63,27,25,81
8,42,61,5,88,51,54
43,16,92,47,75,80,49
50,8,90,84,62,16,1
97,38,17,13,94,39,34
54,29,25,65,5,65,23
68,85,94,34,71,69,75
74,93,84,42,98,75,79
25,95,40,62,73,48,31
80,98,12,78,72,9,11
58,9,12,50,70,87,84
95,63,22,61,78,6,76
87,60,9,81,35,68,95
83,97,59,96,54,53,79
12,20,17,52,58,74,74
61,4,19,49,6,46,12
26,29,29,35,38,21,59
51,86,89,81,98,78,69
47,10,28,36,70,55,58
30,43,81,15,50,31,19
71,9,69,4,90,59,57
89,65,48,33,49,64,68
75,45,66,97,7,49,80
38,49,86,47,7,29,52
23,15,92,4,4,6,68
1,69,9,77,59,97,68
77,1,15,18,68,38,85
11,91,62,53,75,64,16
97,20,40,21,16,17,42
85,95,6,92,30,44,69
60,25,25,52,3,34,18
34,16,34,6,42,75,87
62,11,66,88,4,8,33
74,64,26,56,47,33,20
59,56,74,44,74,92,45
25,71,39,9,58,92,4
55,7,67,37,22,15,35
63,63,86,98,36,54,31
18,91,62,16,94,34,70
75,9,88,68,80,58,54
5,22,27,90,55,79,75
64,47,45,5,74,85,68
84,73,83,84,40,78,39
95,78,26,52,88,86,5
85,20,97,73,69,74,87
93,24,55,1,81,19,60
54,90,31,94,70,25,50
73,26,85,77,12,39,72
74,61,68,17,74,61,74
17,68,66,60,53,36,48
66,90,82,82,10,9,80
21,77,99,88,14,1,81
82,1,17,10,86,26,98
58,87,80,9,4,36,58
85,64,13,3,51,49,44
47,45,91,27,41,35,72
73,41,56,46,58,25,2
94,15,21,88,49,85,61
20,40,61,4,37,31,96
59,58,42,86,43,30,36
96,57,53,61,65,70,47
40,44,18,43,99,42,57
95,25,29,23,97,26,65
74,19,51,46,50,14,5
25,60,2,52,3,29,46
55,1,48,25,52,93,60
59,58,93,15,7,58,98
79,74,76,86,11,53,18
82,40,95,61,7,1,8
1,49,30,29,90,83,54
53,70,56,66,4,45,74
4,66,37,62,44,56,14
48,7,13,85,19,89,99
52,20,82,73,51,88,49
41,5,30,17,24,31,55
53,72,51,41,20,83,33
56,64,99,63,21,86,31
52,94,71,82,98,8,84
86,23,29,3,80,5,61
80,69,90,65,23,1,33
69,29,86,5,95,61,12
75,75,75,84,80,46,19
19,79,62,58,42,48,32
49,91,99,68,47,11,38
80,38,38,92,23,46,62
34,12,76,91,7,35,96
9,20,53,70,84,58,27
59,27,59,7,92,58,26
85,19,40,24,77,99,43
87,78,91,28,46,91,32
46,37,46,73,29,30,18
77,68,34,95,28,28,94
45,96,96,75,74,84,51
60,21,81,2,42,30,44
48,41,82,35,20,78,23
29,68,12,2,6,29,6
73,68,44,59,36,11,66
16,55,24,50,46,45,73
35,34,54,30,49,76,25
96,48,71,19,76,94,21
59,86,82,21,83,3,49
93,9,9,46,13,46,87
48,18,14,28,63,80,83
76,99,51,83,38,47,10
83,90,25,10,41,59,7
62,83,10,72,50,16,86
85,24,72,9,93,39,57
4,39,52,15,58,73,79
13,38,54,20,62,32,95
98,1,38,57,49,72,52
45,87,85,56,24,56,59
11,26,14,21,70,53,91
82,99,88,27,5,88,62
8,12,33,10,33,24,73
43,28,79,38,18,65,2
89,4,48,89,50,47,51
57,20,2,31,11,19,48
75,42,77,15,28,80,37
76,17,87,52,80,65,96
34,52,78,99,81,66,57
92,77,33,23,44,6,20
28,49,93,55,58,63,11
34,90,13,52,25,90,42
93,58,55,45,47,26,3
40,13,43,14,35,33,8
51,33,15,75,65,65,64
96,56,78,1,96,55,57
93,50,25,43,46,8,78
72,18,87,28,46,8,62
26,79,25,29,95,19,61
42,75,64,94,99,27,51
59,11,34,89,52,30,92
53,36,7,54,20,29,4
92,90,46,27,69,64,19
25,88,60,21,29,79,31
83,92,43,40,44,94,59
45,92,62,99,76,84,95
98,29,60,37,16,46,89
15,8,56,16,9,18,68
40,36,20,53,56,2,36
13,57,77,73,47,19,99
18,11,84,97,67,38,1
18,63,82,79,16,7,74
76,96,4,76,86,37,84
16,62,11,5,18,44,24
32,1,36,48,75,45,17
8,99,84,12,7,31,99
89,57,65,21,13,27,82
48,91,15,52,2,2,39
52,59,43,37,29,82,6
88,97,37,11,27,96,6
45,65,68,50,43,96,37
13,12,32,85,45,48,92
73,28,5,46,45,17,31
26,83,78,99,37,73,40
28,59,7,57,82,40,19
58,31,91,9,92,58,61
28,99,93,5,75,78,53
35,58,6,82,54,49,60
60,83,73,4,88,46,7
3,81,49,86,73,58,67
93,5,8,33,9,8,67
6,95,1,85,45,18,39
89,23,26,20,70,54,74
75,93,23,75,99,93,18
66,98,82,46,4,80,39
41,79,86,95,24,23,34
95,78,37,57,98,25,84
44,26,44,31,77,22,68
93,92,66,52,8,58,1
23,25,15,29,59,87,1
75,80,12,54,99,46,68
37,62,80,26,6,8,58
85,67,98,77,56,23,18
6,93,51,25,31,66,51
68,91,58,71,62,70,41
60,31,71,63,18,75,53
6,71,65,41,11,39,9
52,2,80,39,50,34,45
30,66,61,82,30,94,43
30,23,62,46,98,3,61
78,52,3,22,32,4,11
66,21,63,89,80,84,40
61,74,86,14,82,85,10
60,90,43,98,49,30,9
53,19,80,94,28,17,51
77,99,45,95,41,11,90
69,65,10,41,41,84,22
52,46,50,78,32,86,60
95,78,14,35,56,33,93
32,28,48,68,20,99,52
91,97,85,34,83,20,25
24,95,36,35,19,90,59
9,14,96,76,73,83,60
68,54,16,60,98,13,53
90,21,67,14,63,58,18
40,6,77,93,98,8,9
4,79,34,48,60,83,91
28,89,78,29,62,23,70
32,29,45,38,88,38,58
82,8,83,18,6,76,75
47,27,52,67,56,57,46
49,69,40,68,60,48,40
94,34,1,77,2,45,38
69,55,26,15,99,87,68
88,69,76,1,78,40,72
99,36,68,30,39,70,25
28,28,34,66,62,31,35
27,46,1,17,36,34,58
88,69,62,98,3,20,86
98,65,58,33,68,69,94
41,2,90,12,90,68,56
94,73,52,81,49,2,64
49,96,38,13,86,39,26
66,52,81,78,28,79,50
98,38,48,14,10,7,9
72,72,43,86,32,69,61
8,12,90,37,30,63,30
90,93,99,3,26,89,24
30,50,19,2,44,57,84
46,39,18,55,9,76,73
93,82,63,16,18,79,75
23,9,49,26,2,37,2
14,91,18,23,21,77,25
83,67,53,86,90,33,21
72,75,88,12,6,67,49
1,83,20,98,99,4,56
57,80,26,22,50,58,22
97,8,24,34,32,30,6
49,90,55,40,21,55,28
94,80,96,15,97,20,89
58,63,65,96,96,99,72
25,54,83,12,83,39,86
79,80,10,14,10,37,57
85,44,4,50,5,18,22
72,59,64,52,65,20,80
55,5,12,59,93,82,95
29,35,3,47,83,16,85
66,11,78,38,19,62,99
41,86,84,9,38,60,85
5,43,75,20,44,19,71
30,82,37,55,12,99,72
10,98,47,61,98,42,74
85,11,32,59,45,66,19
94,12,21,84,54,85,37
91,86,48,79,26,58,84
5,13,27,26,24,31,97
28,81,23,93,4,46,15
33,52,85,7,54,74,38
9,50,96,51,35,33,28
38,23,8,9,33,72,20
89,19,44,52,96,93,55
19,87,83,12,9,43,73
24,51,93,89,98,2,87
83,50,31,69,47,54,75
47,26,80,43,60,66,52
13,49,68,78,73,1,36
13,40,16,45,52,94,31
26,26,38,91,18,76,26
79,23,38,40,10,17,64
53,27,27,47,32,13,83
55,48,21,72,9,89,15
19,34,14,41,66,6,13
37,63,79,2,93,78,13
94,70,29,46,66,53,44
30,55,54,54,52,3,25
67,6,83,58,4,28,47
34,29,74,24,92,5,9
85,11,43,90,99,19,80
70,40,91,8,3,44,77
46,52,31,25,60,15,90
92,45,82,23,24,11,59
74,91,1,21,84,29,8
24,38,51,57,72,79,43
13,78,42,77,4,16,19
20,11,46,4,63,93,21
15,71,1,2,86,68,6
16,32,27,16,65,43,71
6,6,3,51,55,40,86
90,67,66,3,12,2,45
28,42,62,79,42,38,27
69,40,88,50,75,16,45
21,43,68,34,34,86,85
83,49,96,51,31,68,32
12,11,87,39,90,86,62
55,44,61,63,55,19,42
76,15,58,23,13,2,31
73,2,17,99,81,88,17
67,21,28,98,80,8,46
24,9,47,17,10,86,75
65,29,19,52,31,17,61
11,81,19,18,67,51,22
40,50,63,87,90,21,42
71,48,46,88,79,14,24
6,9,33,61,13,10,62
6,77,24,44,29,66,26
96,6,46,57,36,57,41
69,12,96,40,8,1,54
35,36,75,26,90,24,16
70,33,2,38,65,97,15
32,64,57,7,94,47,29
87,11,16,23,38,86,22
89,44,64,5,24,43,40
46,98,25,87,34,41,31
43,69,55,16,43,43,49
69,25,71,73,88,71,61
1,93,92,79,88,91,39
92,88,17,83,35,65,88
30,49,4,28,16,70,64
59,95,81,86,85,36,49
23,98,79,6,78,88,4
60,74,27,57,93,97,20
58,55,80,39,47,19,76
90,87,77,26,16,50,98
45,70,26,93,72,2,54
26,27,80,7,28,57,79
69,59,22,62,30,96,43
95,80,75,93,67,80,63
17,72,11,58,16,19,16
51,63,41,92,97,38,99
19,47,93,69,5,14,19
97,78,23,75,22,53,17
84,56,49,90,42,5,54
73,82,64,26,46,88,86
98,57,94,3,13,37,74
23,36,34,63,86,83,34
32,72,16,69,9,28,16
95,90,37,93,22,97,68
96,74,88,83,52,7,15
73,2,80,75,72,62,13
46,37,20,50,62,1,5
4,57,94,1,39,64,47
28,61,90,9,63,35,81
42,63,43,98,78,21,24
40,64,52,95,33,94,7
17,87,69,11,43,78,54
89,25,18,76,23,25,1
20,4,68,91,86,92,40
87,43,5,14,85,65,83
6,22,48,11,44,89,32
63,62,45,98,10,70,38
92,99,11,67,54,77,4
10,17,16,13,22,55,18
48,49,98,76,48,60,77
75,2,58,16,15,79,38
91,21,31,12,36,58,14
40,64,6,76,84,10,70
27,9,77,26,13,72,10
3,69,39,4,28,36,67
49,25,20,59,52,55,76
84,44,61,26,83,98,36
93,56,87,94,20,64,11
89,7,51,73,41,55,69
43,93,88,56,40,54,75
78,5,82,28,47,84,41
98,42,25,92,63,16,7
55,43,67,77,27,1,89
99,80,89,92,4,96,90
96,52,59,25,92,61,46
85,33,30,66,60,30,74
62,77,62,19,39,30,45
51,58,34,65,5,33,85
40,15,50,45,12,60,34
7,74,48,55,98,40,1
62,98,35,28,2,91,67
66,83,35,92,74,65,71
92,18,67,62,74,1,53
81,65,39,63,80,72,55
77,18,58,85,52,55,95
42,25,51,96,19,71,69
93,68,20,89,28,29,68
94,98,10,67,62,86,4
43,62,95,34,30,62,8
18,26,63,28,43,71,4
57,36,83,3,14,77,94
44,78,96,48,73,27,65
3,43,7,48,19,44,51
50,52,61,94,30,4,50
24,83,6,91,72,94,42
36,23,89,67,66,54,8
54,22,73,39,24,77,51
26,17,72,46,45,24,56
54,28,32,51,77,39,80
28,52,47,24,47,9,10
89,82,50,6,57,1,42
48,73,98,15,74,7,3
43,54,60,79,46,61,88
50,87,38,39,50,54,81
16,52,49,13,12,53,59
7,88,55,99,39,62,62
9,94,85,27,94,73,92
11,3,1,14,3,28,44
51,61,94,79,74,59,7
95,40,60,58,34,45,62
59,82,20,26,40,80,58
84,83,63,4,55,76,93
8,87,66,25,93,16,80
57,79,97,77,11,13,97
81,17,45,8,57,65,97
13,39,5,41,22,7,90
26,52,64,3,14,74,97
6,34,85,60,71,12,49
15,89,50,33,25,3,9
46,28,36,71,54,99,87
50,99,89,38,34,36,53
95,29,40,23,21,89,20
38,34,68,53,51,79,62
39,79,36,79,85,85,78
97,28,47,19,13,94,49
57,76,33,41,54,82,98
66,19,12,71,21,87,91
62,1,50,86,87,21,94
77,27,4,53,95,38,38
34,81,73,8,28,7,44
64,76,11,82,96,10,73
44,88,78,74,69,5,69
21,49,86,26,15,95,94
39,87,99,89,1,23,21
24,67,83,88,82,67,82
18,93,72,38,89,86,5
25,28,4,89,49,76,8
56,12,98,81,59,22,3
81,60,48,79,85,38,92
66,99,93,90,83,91,33
88,59,58,37,11,37,8
80,87,26,49,76,16,39
36,86,40,47,58,3,82
13,67,59,36,91,50,18
73,82,9,1,72,78,47
73,32,65,73,67,45,4
7,42,46,76,58,77,14
32,27,9,31,16,71,62
20,23,84,23,32,78,53
87,97,9,20,99,15,67
99,94,87,59,28,98,46
63,38,70,25,16,83,36
95,37,30,54,72,46,28
57,86,68,17,55,89,51
46,55,47,86,21,28,48
34,52,40,28,91,71,54
42,68,5,78,87,93,69
24,76,12,6,91,12,13
86,57,23,20,30,65,44
34,63,42,52,67,53,62
92,74,12,41,64,54,28
58,47,49,59,31,84,12
53,54,78,40,77,53,18
48,59,38,94,34,9,64
21,60,85,88,79,7,48
24,33,46,85,10,65,88
75,65,37,12,47,77,84
27,13,49,79,16,14,21
98,1,49,87,6,85,93
69,22,5,64,30,95,23
75,16,18,93,4,42,50
45,57,38,71,88,45,48
67,25,71,23,67,34,20
45,77,87,88,26,69,15
14,89,35,24,12,27,36
79,41,10,51,83,29,26
9,5,24,22,78,36,27
41,41,93,27,61,53,97
59,8,51,18,89,80,20
44,25,1,52,43,8,47
7,66,13,43,97,42,5
56,81,39,92,75,23,88
42,17,48,86,55,84,41
86,88,52,17,50,12,19
41,70,17,92,30,98,21
27,35,13,81,91,82,88
15,84,31,22,9,17,88
56,43,43,68,25,17,8
15,75,5,65,39,50,90
59,33,32,87,20,13,52
15,5,78,33,90,62,4
42,70,65,23,20,32,76
80,42,98,11,99,92,3
63,20,90,74,42,52,39
48,78,89,45,21,16,89
63,65,38,58,26,37,24
1,34,55,18,47,32,89
7,31,20,73,35,9,13
72,40,8,21,52,2,16
3,44,19,62,17,57,58
64,35,96,51,44,49,20
1,22,33,23,46,57,9
22,60,48,38,39,21,67
27,77,77,64,91,58,25
7,88,79,99,35,82,20
53,21,30,39,33,64,32
60,69,51,56,78,93,32
36,87,73,37,45,37,31
50,98,9,90,90,68,70
19,73,3,11,71,88,32
36,67,63,96,3,54,5
86,43,15,38,67,85,5
86,68,32,18,71,7,84
42,94,58,43,23,9,80
75,85,67,64,59,86,91
27,54,32,18,10,9,74
16,30,9,96,28,86,38
25,70,95,76,26,55,99
55,7,2,91,19,84,62
97,46,28,66,31,35,12
55,25,96,54,80,90,90
53,62,63,64,69,26,39
80,8,36,4,88,66,68
14,18,10,25,52,90,32
70,58,37,16,70,90,89
22,59,79,33,9,84,2
3,1,2,92,10,85,47
48,55,96,64,39,63,58
18,71,47,3,54,66,29
59,72,6,80,4,68,72
66,80,20,4,68,95,35
90,40,46,64,70,2,62
40,58,87,3,73,94,47
66,82,95,45,95,43,33
36,51,63,10,38,56,7
35,28,54,72,81,96,84
64,85,68,5,84,6,43
81,81,31,94,19,45,38
61,14,22,67,40,74,32
57,29,12,95,87,4,31
93,2,88,38,32,50,53
94,70,3,39,82,22,61
96,9,25,82,51,59,77
86,30,43,55,86,18,40
91,30,59,75,35,67,25
59,19,48,59,82,4,29
1,6,55,66,35,56,48
90,32,93,8,29,43,86
43,69,8,19,9,32,44
3,55,92,79,15,88,42
68,59,90,92,56,98,73
3,9,16,39,26,14,78
99,66,40,53,2,6,27
44,67,31,3,41,51,19
10,9,78,49,99,82,69
8,10,87,58,38,81,21
84,29,35,49,18,93,3
45,20,87,69,35,40,21
58,32,36,20,65,63,79
96,58,81,66,19,68,46
61,99,42,45,10,82,42
93,71,41,25,59,5,95
98,81,88,73,22,64,47
58,34,95,23,88,91,60
36,11,95,2,32,85,61
72,70,38,50,98,30,54
27,22,24,22,94,17,47
18,63,71,98,6,99,68
97,83,78,35,36,38,66
5,17,26,18,80,25,5
26,76,27,80,51,87,23
64,86,36,73,50,96,57
33,90,51,66,95,97,53
83,78,43,22,7,27,92
7,9,57,4,82,13,2
22,24,99,79,52,24,39
8,35,43,2,26,28,1
25,34,21,20,50,57,26
61,45,34,94,96,29,84
23,74,50,14,40,96,81
8,87,37,78,84,57,28
3,65,99,77,83,80,63
26,37,25,42,47,68,58
24,49,85,4,1,69,90
34,41,79,93,28,90,96
79,96,66,5,88,69,8
39,78,81,32,61,18,14
93,78,52,99,82,30,36
16,95,38,76,89,7,18
55,10,91,86,37,83,30
20,16,84,20,37,97,3
3,29,71,15,72,46,13
58,11,69,55,14,9,91
39,64,49,3,83,81,95
34,77,33,86,6,27,38
66,30,46,7,97,80,2
76,71,76,26,63,39,30
13,31,5,55,94,21,60
83,67,78,17,94,11,60
48,37,20,19,90,2,4
40,37,28,50,71,94,22
63,13,19,85,9,51,58
25,95,90,91,71,24,40
89,65,68,47,68,66,65
28,6,73,85,52,32,53
50,44,67,8,31,94,38
80,82,87,36,80,92,11
28,5,26,53,91,41,64
98,74,29,58,18,87,45
43,40,44,95,30,94,44
30,67,89,5,91,12,37
24,97,56,44,7,92,71
1,65,17,50,89,1,43
87,97,48,39,60,51,89
81,2,40,7,15,82,4
99,13,92,59,25,43,79
68,42,77,64,32,41,60
11,2,37,74,41,9,55
9,99,68,33,83,99,71
4,63,34,66,24,55,28
58,35,95,50,83,94,69
17,91,11,73,9,83,73
64,96,13,51,1,82,54
1,93,75,51,73,16,96
40,16,39,38,36,81,11
84,17,20,43,84,25,74
15,72,56,78,18,6,65
81,91,43,11,34,47,80
95,86,88,48,9,22,55
85,25,47,30,4,7,79
56,33,40,6,2,50,16
48,97,49,47,90,4,68
5,54,70,92,59,6,34
28,97,11,94,28,78,49
7,51,2,62,64,68,38
90,12,35,89,86,40,45
50,86,25,76,61,27,53
25,91,85,73,91,53,27
72,60,21,77,82,26,95
27,49,97,31,52,50,16
40,96,43,27,7,98,89
97,53,93,34,69,59,64
23,16,7,30,2,41,31
78,15,7,64,69,31,81
50,72,11,33,17,17,72
90,93,20,95,74,5,29
83,16,86,86,38,78,38
19,32,99,98,81,37,28
41,11,97,79,32,36,31
58,55,38,98,11,85,97
85,75,49,18,54,38,52
25,64,7,27,94,69,60
96,29,39,74,42,79,16
11,86,26,72,20,77,14
24,23,41,25,69,8,52
17,21,95,22,64,19,78
97,92,79,14,48,38,6
74,38,37,28,19,56,28
63,35,48,87,56,83,83
34,11,31,4,56,39,29
88,27,36,83,59,40,4
54,94,42,43,50,37,95
60,11,45,35,96,66,47
45,34,89,92,77,88,41
87,77,11,56,60,69,68
77,29,85,74,55,63,73
82,4,91,37,64,40,36
83,95,12,33,69,12,66
90,3,66,32,80,49,28
35,56,1,23,44,79,75
92,56,40,6,27,15,29
94,19,86,1,6,19,60
70,19,11,29,43,52,1
91,57,86,32,13,16,78
95,62,63,26,1,54,33
94,52,66,45,22,65,65
58,1,92,21,24,29,64
88,23,88,13,46,68,39
26,87,36,80,43,66,94
77,18,9,38,6,32,52
66,35,50,25,42,83,2
78,76,72,97,41,57,27
21,36,14,60,61,83,60
55,98,13,71,69,70,56
79,2,98,28,50,31,66
33,49,90,91,96,56,89
9,49,27,52,11,27,2
45,13,64,55,26,60,72
8,46,79,36,44,37,63
94,10,92,28,96,26,41
3,17,84,21,26,90,85
18,30,57,91,60,75,85
71,6,55,92,73,35,84
63,22,70,87,92,18,75
40,6,49,36,79,79,30
29,48,80,16,87,59,99
33,26,85,47,36,21,63
35,49,11,14,56,63,81
31,13,66,45,25,31,44
34,14,87,43,11,33,66
28,33,29,89,57,3,36
44,3,57,31,27,10,74
9,53,89,48,13,63,31
27,96,53,82,92,74,67
51,57,70,4,69,82,79
7,78,96,13,37,7,9
15,27,98,28,42,85,48
40,61,96,27,68,82,53
13,66,31,5,66,91,67
61,31,49,13,67,36,63
99,33,79,10,53,92,67
53,32,96,10,7,16,31
8,39,53,12,76,79,44
37,65,42,19,43,88,53
41,75,60,64,49,69,37
38,61,67,38,2,39,87
76,81,59,16,30,60,82
18,25,33,43,19,95,96
2,68,18,80,96,28,6
77,57,67,73,24,17,68
2,46,24,14,51,98,92
1,11,5,47,35,66,46
90,93,73,73,79,90,92
36,42,53,89,88,58,45
70,36,69,51,88,35,93
76,92,78,83,60,89,79
50,5,8,80,42,42,75
60,32,19,2,69,1,80
21,49,57,68,28,7,64
3,65,37,75,64,40,54
20,76,40,56,72,24,8
21,24,44,2,31,20,90
30,26,1,54,24,59,42
28,63,40,62,98,14,83
52,24,61,51,98,1,55
83,7,6,84,99,69,17
92,48,70,41,84,5,20
4,60,59,14,17,51,17
12,68,52,96,45,71,19
78,21,19,4,38,12,99
70,34,20,28,39,99,94
1,28,3,55,93,9,81
10,21,51,2,95,83,73
7,34,12,22,84,44,66
83,16,70,35,77,19,98
35,63,18,50,92,19,51
46,36,46,75,60,4,85
53,74,62,55,18,57,23
73,89,99,65,54,56,93
86,42,30,26,65,42,14
67,80,18,61,18,34,93
74,84,14,90,2,38,75
66,29,77,71,4,62,84
74,40,37,25,48,93,25
82,74,28,37,98,37,68
90,81,85,98,29,99,44
39,54,76,9,38,32,33
73,39,16,88,77,88,72
81,41,49,86,94,83,30
80,4,88,59,76,95,33
91,4,89,50,34,90,21
7,67,40,22,50,65,37
3,18,94,68,83,4,41
84,69,58,20,19,90,41
77,53,5,49,32,25,90
30,69,11,39,84,30,30
40,56,27,65,46,26,32
49,92,53,47,93,32,70
22,41,61,97,1,96,65
15,29,85,63,72,46,73
79,49,96,77,76,39,90
57,34,42,29,48,94,96
94,37,97,57,64,14,6
91,75,38,42,28,73,46
35,99,22,14,84,23,58
84,91,10,64,56,17,57
11,78,37,42,91,61,36
35,37,24,72,67,86,86
26,41,86,38,17,24,57
79,26,47,47,9,99,17
90,72,87,14,3,28,68
31,25,5,28,32,36,92
32,55,33,62,8,81,98
95,44,82,28,34,73,73
50,97,46,95,20,71,20
4,40,7,51,73,65,22
41,40,9,5,78,62,31
19,46,41,25,21,70,69
19,96,93,19,9,4,95
78,80,72,83,34,57,3
59,79,43,62,94,53,4
15,41,15,64,14,50,79
77,83,97,71,95,4,55
51,83,15,12,76,93,67
44,92,44,64,45,71,28
72,88,54,30,57,76,94
46,6,23,98,10,97,74
32,31,92,66,77,28,26
94,14,80,67,27,18,15
91,39,85,12,19,47,54
22,44,2,42,40,67,69
41,56,81,73,7,56,6
35,55,95,55,64,51,4
10,32,30,32,7,66,86
33,12,65,43,2,91,76
8,54,13,70,72,76,59
40,62,24,23,63,86,19
86,60,42,11,88,34,88
89,88,39,67,51,63,1
20,14,95,84,9,34,82
79,3,77,15,43,32,38
56,65,7,60,61,14,53
37,93,59,58,14,79,84
22,73,20,88,4,96,29
34,65,93,40,77,8,56
23,81,31,60,93,1,79
71,63,5,49,10,43,9
18,86,93,81,23,28,45
48,97,99,4,5,37,30
76,94,96,55,59,28,48
68,65,28,54,26,31,46
13,31,20,18,3,43,26
3,18,87,89,86,92,46
23,78,80,59,36,26,19
17,12,52,45,78,66,19
69,67,6,71,97,87,90
31,98,8,77,44,26,44
27,14,51,66,3,37,70
88,61,79,59,78,36,2
40,15,83,59,96,31,78
62,97,53,33,19,19,31
15,64,1,64,9,80,27
99,56,55,97,1,37,78
16,94,21,71,51,62,81
54,36,16,15,70,47,8
11,72,6,19,51,60,34
83,66,81,18,87,8,59
6,2,96,50,61,3,19
78,76,8,64,16,75,27
24,57,31,31,95,36,62
77,88,30,90,45,27,44
59,57,16,53,88,25,51
76,25,33,45,14,76,69
6,58,11,23,34,11,82
4,45,99,68,69,87,16
20,68,91,25,18,70,86
27,9,30,25,80,79,5
31,61,79,68,31,96,82
30,87,60,79,96,64,94
49,57,49,50,72,96,42
62,28,94,78,17,6,79
86,40,65,99,98,55,96
23,36,54,72,98,96,2
91,3,35,4,84,10,64
25,55,50,21,5,5,18
24,64,18,99,58,11,28
72,76,92,4,85,39,43
18,56,23,6,41,18,57
12,78,1,88,94,38,10
99,23,60,59,65,68,15
61,47,31,75,5,14,8
12,4,39,34,72,86,34
42,75,71,80,25,9,46
11,96,35,29,66,5,89
25,67,17,89,22,53,55
91,64,26,8,77,76,60
94,42,4,62,26,95,21
66,12,89,75,65,72,51
54,93,7,50,24,39,20
97,89,53,36,71,6,83
65,45,46,4,87,50,45
17,30,80,9,14,51,43
27,41,76,66,65,43,13
94,65,30,24,75,59,37
18,59,54,16,38,41,85
72,68,44,82,89,57,21
86,64,97,18,86,21,95
62,39,73,71,93,96,92
42,93,60,11,59,95,6
70,36,17,11,24,64,21
41,50,83,73,28,51,5
59,72,86,22,22,14,98
51,22,99,75,46,78,47
93,46,41,79,41,18,57
23,39,31,87,71,50,80
94,49,64,60,68,97,45
50,77,9,9,60,95,94
49,32,81,3,48,7,61
27,18,2,72,50,19,72
86,52,64,86,55,81,86
3,93,15,64,27,91,40
28,29,24,48,53,84,39
27,61,17,6,76,78,14
11,87,10,22,6,18,1
78,21,40,49,31,11,47
93,22,85,64,45,7,1
10,55,16,74,3,48,21
90,45,45,96,38,11,99
94,12,54,86,60,82,45
30,8,92,53,15,97,19
78,10,41,17,62,58,17
39,14,19,86,75,23,60
75,5,18,27,1,72,9
96,12,10,85,24,14,85
34,42,97,87,29,23,91
43,10,15,79,28,15,15
59,61,71,54,95,11,98
96,91,80,10,33,12,41
47,86,84,50,32,10,32
24,62,9,7,69,92,47
59,3,95,19,15,44,6
74,68,79,11,80,75,62
96,1,22,87,3,37,46
16,51,78,19,86,55,90
95,79,85,10,57,43,60
39,53,76,64,84,13,25
87,25,22,20,66,19,17
62,22,17,60,95,31,14
36,15,79,46,54,51,91
59,29,97,36,24,14,5
55,38,19,54,85,59,97
50,89,48,72,33,94,84
53,20,61,9,45,85,94
39,82,43,25,2,18,99
47,62,59,76,22,71,62
80,19,87,72,57,43,25
40,50,54,93,53,30,19
48,61,54,66,91,9,55
42,73,98,17,69,56,10
69,59,24,15,84,43,2
65,27,12,68,47,12,1
94,9,76,82,83,66,37
72,31,24,95,17,97,25
78,60,29,34,2,65,76
92,87,96,29,13,56,92
63,33,3,27,28,16,93
52,77,9,36,88,86,72
57,74,79,13,99,69,38
98,64,93,47,70,23,59
77,20,85,5,97,69,93
56,56,63,13,84,22,1
68,56,8,94,92,61,56
10,87,83,93,4,3,3
45,51,79,99,78,81,33
65,76,60,18,56,73,51
4,81,38,22,97,99,49
46,4,54,96,50,45,79
72,49,68,63,94,53,77
16,33,69,22,57,98,32
39,10,90,62,9,78,46
33,19,82,98,39,79,95
12,28,48,43,51,81,80
95,86,67,96,82,56,51
78,45,55,69,6,73,72
57,42,72,68,94,46,99
56,79,36,55,95,87,65
7,8,35,44,59,79,1
66,80,74,14,3,50,84
67,79,65,41,16,82,8
51,51,67,75,79,98,98
61,69,91,80,62,8,80
5,79,54,61,26,19,83
47,31,47,85,31,1,15
48,57,46,99,34,50,40
55,66,2,35,10,54,11
9,27,21,48,94,78,62
59,44,63,18,59,46,19
39,10,78,28,16,63,10
49,26,33,75,82,71,50
10,97,86,81,24,1,20
95,25,84,1,21,71,91
1,69,17,61,51,55,89
80,44,16,24,60,54,66
11,92,25,10,49,62,87
88,61,55,58,52,58,41
61,70,33,65,29,23,25
29,31,11,81,28,63,30
33,71,73,49,50,67,3
34,8,88,11,37,74,13
14,57,60,13,39,44,30
74,65,90,98,61,53,80
26,71,65,40,48,17,42
51,85,2,93,17,28,90
29,63,24,53,55,41,81
47,62,56,91,5,66,35
81,68,21,95,66,10,6
85,57,73,92,72,92,62
88,19,29,77,42,52,18
64,51,36,23,31,11,36
63,44,41,80,15,57,98
76,38,84,33,56,61,11
97,43,85,44,75,80,7
96,12,14,92,92,25,30
98,86,61,54,67,60,97
57,90,25,15,9,51,7
24,11,44,60,97,99,4
73,37,47,26,29,22,94
74,53,70,45,99,65,93
71,29,60,11,18,45,90
47,50,11,38,77,81,49
38,80,57,38,54,14,67
7,78,48,7,54,64,12
